id,title,severity,component,description,impact,kind,report
S1-2135,Minimum staking amount not enforced,Low,Frequency-capacity-pallet,"The `ensure_can_stake` function is intended to verify that a staking amount exceeds the required minimum. However, it checks the sum of the user's current active stake and the new stake amount, rather than the new amount in isolation. This allows a user to make a valid initial stake and then make subsequent stakes of as little as 1 token, bypassing the intended economic constraint.","An attacker can underpay for storage usage by making many small staking requests after an initial valid one, leading to potential storage bloating and slowing down the network.",Implementation,2024 H2/2409-frequency-srl/frequency-srl-2409.json
S1-2147,Possible user handle confusion,Low,Frequency-handles-pallet,"When a user claims a handle, the system checks against a list of reserved words like 'admin'. This check does not account for the canonical representation of Unicode characters, allowing a user to register a handle with characters that are visually confusable with a reserved name (e.g., using a homoglyph for 'a').","A user could claim a handle that closely resembles a reserved or official handle, potentially misleading other users into believing they hold a special or privileged status.",Input Validation,2024 H2/2409-frequency-srl/frequency-srl-2409.json
SO-2134,Possible interoperability issue in passkey signature verification,Informational,Frequency-pallet-passkey,"The `check_account_signature` function expects signature data to be wrapped in `<Byte>` tags, following a convention used by the polkadot-js-extension. If a third-party application submits a raw signature without this specific wrapping, the signature verification will fail, resulting in transaction errors.","This requirement can cause interoperability problems with third-party applications that are unaware of or do not implement this specific data wrapping convention, limiting broader ecosystem compatibility.",Design,2024 H2/2409-frequency-srl/frequency-srl-2409.json
S1-52,Failed assumption: new_xcm_location for foreign asset may already exist,Low,/pallets/moonbeam-foreign-assets/src/lib.rs,"The function to create a new foreign asset ensures its XCM location does not already exist. However, a separate governance function to change an asset's XCM location ('change_xcm_location') fails to perform the same check, making it possible to assign a location that is already in use.","A malicious or accidental governance action could configure multiple foreign assets to use the same XCM location. This would cause collisions in asset resolution, leading to confusion and undefined behavior.",Implementation,2024 H2/2411-moonbeam-srl/moonbeam-srl-2411.json
insufficient-iteration-limit-in-hash-point-decompression--combinatorial-tokens--high,Insufficient iteration limit in hash point decompression,High,combinatorial-tokens,"Hash point decompression is limited to 32 iterations, while mathematical evidence suggests approximately 507 iterations might be required to find a valid point on the alt_bn128 curve. This discrepancy means the decompress_hash function may frequently fail to find a valid y-coordinate, even for valid inputs.","This can result in a systemic failure of collection ID generation, effectively causing a denial of service in the combinatorial tokens system.",Implementation,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
incorrect-logarithm-calculation--neo-swaps--high,Incorrect logarithm calculation,High,neo-swaps,"The log_ceil implementation for u16 uses an incorrect value to determine the number of bits, leading to a faulty logarithm calculation for all values. This math utility is used for weight computation in several key functions.",The incorrect weight calculation leads to disproportionate overcharging of users for computation costs.,Implementation,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
low-account-costs-could-facilitate-the-exhaustion-of-parachain-resources--runtime--high,Low account costs could facilitate the exhaustion of parachain resources,High,runtime,"The ExistentialDeposit, the cost to keep an account active, is defined as 5 MILLI ZGT, which corresponds to a very low fiat value. This low cost could allow an attacker to bloat the parachain's storage with a large number of active accounts for a minimal cost.","The costs of maintaining the bloated data might exceed the initial creation costs, leading to potential Denial-of-Service scenarios.",Configuration,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
oracle-price-comparison-is-prone-to-manipulation--neo-swaps--medium,Oracle price comparison is prone to manipulation,Medium,neo-swaps,"The try_evaluate function determines outcomes by directly comparing spot prices between positive and negative outcomes. This approach lacks safeguards, such as using a time-weighted average price, making the oracle vulnerable to price manipulation and MEV attacks.","Malicious actors could manipulate prices to influence outcomes, although the report notes the impact is limited because the creation of decision markets is permissioned.",Design,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
unverified-proposal-oracle-could-facilitate-approval-of-malicious-proposal--futarchy--medium,Unverified proposal oracle could facilitate approval of malicious proposal,Medium,futarchy,The maybe_schedule_proposal function checks a proposal's approval by calling an oracle that is part of the proposal structure itself. This oracle is not verified when the proposal is submitted or scheduled.,A malicious oracle could be specified to arbitrarily approve or reject a proposal. The report notes this could have major consequences if permissionless proposal creation is implemented.,Access Control,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
overflow-checks-are-not-enabled-for-the-release-profile--unspecified--medium,Overflow checks are not enabled for the release profile,Medium,unspecified,"The crates in scope do not enable the overflow-checks flag for the release build profile. Since Rust does not enforce overflow checks by default in release mode, this could lead to unexpected behavior if arithmetic operations overflow.","Integer overflows or underflows may occur silently, leading to unintended consequences, especially if checked math operations are not used consistently throughout the codebase.",Configuration,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
faulty-test-case-introduces-maintenance-risk--combinatorial-tokens--medium,Faulty test case introduces maintenance risk,Medium,combinatorial-tokens,"In the test suite for redeeming positions, the test cases 'all_zero' and 'all_one' use identical input vectors. This duplication means the scenario for 'all_one' is not actually being tested, which could hide potential bugs.","Incorrect test cases can lead to maintenance issues and reduced confidence in the test suite's effectiveness, potentially allowing bugs in untested code paths to go unnoticed.",Process,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
unresolved-fixme-comments-in-the-codebase--unspecified--informational,Unresolved FIXME comments in the codebase,Informational,unspecified,"The audit identified several unresolved FIXME comments in the codebase, specifically within the combinatorial-tokens and neo-swaps pallets. These comments indicate areas that require further attention or revision.","FIXME comments may point to code that is incomplete, suboptimal, or incorrect, creating technical debt and increasing maintenance overhead.",Documentation,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
the-project-has-dependencies-on-vulnerable-crates--unspecified--informational,The project has dependencies on vulnerable crates,Informational,unspecified,"The project depends on versions of 'curve25519-dalek' and 'rustls' that are affected by known security advisories (RUSTSEC-2024-0344 and RUSTSEC-2024-0336, respectively).","The identified vulnerabilities in the dependencies could potentially be exploited, posing a security risk to the project.",Dependency,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
unresolved-todo-comments-in-the-codebase--unspecified--informational,Unresolved TODO comments in the codebase,Informational,unspecified,"The audit identified numerous unresolved TODO comments scattered throughout the codebase. These comments signify planned enhancements, missing features, or areas needing further work.","A large number of TODO comments can indicate an incomplete codebase, creating technical debt and making the code harder to maintain and understand.",Documentation,2024 H2/2410-zeitgeist-oak/zeitgeist-oak-2410.json
HI-01,Unrestricted URI,High,pallets/laos-evolution,"If a collection created via the EvolutionCollectionFactory precompile is configured to allow public minting, any user can create new collection items pointing to arbitrary malicious URIs. This is possible for any unused slot within the collection.","Malicious URIs could direct users to browser exploits, client-side attacks, or illegal content. These URIs would be associated with the NFT collection and displayed on platforms where the NFTs are traded.",Access Control,2024 H2/2407-laos-coinfabrik/coinfabrik-laos-2407.json
ME-01,Lack of URI Validation,Medium,"pallets/asset-metadata-extender, pallets/laos-evolution",URIs received by the AssetMetadataExtender and EvolutionCollection precompiles are not validated for correct format or canonized before being stored on-chain. This allows for malformed URIs to be written into the blockchain's state.,Other systems that read URI data from the blockchain could be vulnerable to exploits that leverage malformed URIs. This issue increases the risk of the 'HI-01 Unrestricted URI' finding.,Input Validation,2024 H2/2407-laos-coinfabrik/coinfabrik-laos-2407.json
MI-01,No Logging on Minting Error,Low,pallets/parachain-staking/src/rewards/mint_rewards.rs,"When new blocks are created, if the system fails to deposit funds for the collator's reward, the error is not logged or registered. The code handles the success case but has no 'else' clause for the failure case.","A failure to reward a collator would happen silently, making it difficult to detect or debug potential issues with the reward mechanism. This could lead to collators not being paid without any notification.",Implementation,2024 H2/2407-laos-coinfabrik/coinfabrik-laos-2407.json
MI-02,Lack of Universal Location Validation,Low,pallets/asset-metadata-extender,The functions `extendULWithExternalURI` and `updateExtendedULWithExternalURI` do not validate the universal location string parameter. This unvalidated string is then reflected in emitted events that can be processed by other systems.,Systems that consume and process emitted events could be exploited by malformed universal location strings. The risk is lower than state corruption as it is confined to event data.,Input Validation,2024 H2/2407-laos-coinfabrik/coinfabrik-laos-2407.json
H-01,TransferFrom is incorrectly treated as a view function,High,MultiCurrencyPrecompile,"In the `MultiCurrencyPrecompile` module, the `check_function_modifier` fails to handle the `Function::TransferFrom` case, causing it to default to being a view function. This is incorrect as `TransferFrom` is a state-changing operation.","This misclassification can lead to unexpected failures when `TransferFrom` is invoked in contexts that restrict state changes, as the execution environment will incorrectly treat it as a read-only call.",Implementation,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
M-01,Unbounded storage iteration in EVM address registration migration,Medium,SetCodeForErc20Precompile,The `on_runtime_upgrade` function performs an unbounded iteration over all assets in the registry to register their EVM addresses. This process occurs within a single transaction.,"If the number of assets is large, the migration could exceed block weight limits, causing the runtime upgrade to fail and potentially leading to network downtime.",Design,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
M-02,Failure to verify ERC20 function return values in handle_result(),Medium,Erc20Currency,"The `handle_result` function, which processes ERC20 contract calls, only checks the EVM `exit_reason` for success. It does not validate the returned data, which for many ERC20 tokens is a boolean `false` indicating failure.","The system may incorrectly assume an ERC20 operation was successful when it failed, leading to inconsistencies between the application's state and the actual token contract state.",Implementation,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
M-03,Unbounded memory growth via EVM Error message allocations,Medium,executor.rs,"The EVM error handling mechanism in `executor.rs` uses `Box::leak` to create permanent memory allocations for each unique error value. Since error messages include dynamic data, an attacker can generate a large number of unique errors.","This can lead to unbounded memory growth across all network nodes, which cannot be reclaimed without a restart, creating a potential Denial of Service (DoS) vector.",Implementation,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
L-01,EIP-2 signature malleability in Permit validation,Low,permit.rs,"The `validate_permit` function does not validate that the `s` value of the ECDSA signature is in the lower half of the curve order, as required by EIP-2. This allows for signature malleability, where multiple valid signatures can exist for the same message.","This deviation from a widely-adopted standard could lead to compatibility issues or be a contributing factor in more complex exploits, even if it does not pose a direct, immediate risk.",Cryptography,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
L-02,Missing logging in runtime upgrade implementation,Low,SetCodeForErc20Precompile,"The `on_runtime_upgrade` function for the ERC20 precompile lacks any logging mechanisms to track its progress or results. This makes it difficult to monitor the upgrade, debug failures, or audit the changes post-deployment.","The absence of logging complicates operational monitoring and incident response, making it harder to verify that the upgrade completed successfully or to diagnose the cause of any failures.",Operational,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
L-03,EVM exit status misclassification in handle_result(),Low,handle_result(),The `handle_result` function incorrectly classifies the `ExitSucceed::Suicided` EVM exit status as an error. This status is the correct and expected outcome for a successful `SELFDESTRUCT` operation.,"Valid contract self-destruct operations will be incorrectly marked as failed transactions, which diverges from standard EVM behavior and could break applications that rely on this functionality.",Implementation,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
L-04,Oversized EVM error messages due to full value encoding,Low,erc20_currency.rs,"The `handle_result` function encodes the entire return `value` from a failed EVM call into the resulting error message. For operations that can return large amounts of data, this leads to oversized error messages.",Large error messages can cause excessive memory allocation and lead to unnecessary storage bloat if they are logged on-chain or stored in network history.,Implementation,2024 H2/2410-hydration-pashov/hydration-pashov-2410.json
